query_id,subject_id,subject_def,evalue,identity,midline,query_start,query_end
0_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
0_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
1_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",0.0312813,19 / 19,|||||||||||||||||||,0,19
1_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.0312813,19 / 19,|||||||||||||||||||,0,19
1_fwd,gi|87116673|ref|NM_172647.2|,"Mus musculus F11 receptor (F11r), mRNA",1.33012,18 / 19,||| |||||||||||||||,0,19
2_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",1.33012,18 / 19,|||||||||||||||| ||,0,19
2_fwd,gi|1907100893|ref|XM_036158581.1|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X2, mRNA",1.33012,18 / 19,|||||||||||||||| ||,0,19
2_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",1.33012,18 / 19,|||||||||||||||| ||,0,19
2_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",1.33012,18 / 19,|||||||||||||||| ||,0,19
2_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",1.33012,18 / 19,|||||||||||||||| ||,0,19
3_fwd,gi|227496856|ref|NM_007509.3|,"Mus musculus ATPase, H+ transporting, lysosomal V1 subunit B2 (Atp6v1b2), mRNA",56.5579,18 / 20,|||||||||| || ||||||,0,13
4_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|1907100893|ref|XM_036158581.1|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X2, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|1002819371|ref|NM_001320725.1|,"Mus musculus predicted gene, 45935 (Gm45935), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|256223289|ref|NM_001164289.1|,"Mus musculus PHD finger protein 11C (Phf11c), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
4_fwd,gi|2492586618|ref|NM_001419880.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 4, mRNA",0.0312707,21 / 22,||||||||||||| ||||||||,0,22
4_fwd,gi|2492584904|ref|NM_001419878.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 1, mRNA",0.0312707,21 / 22,||||||||||||| ||||||||,0,22
4_fwd,gi|2492587213|ref|NM_001419879.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 3, mRNA",0.0312707,21 / 22,||||||||||||| ||||||||,0,22
4_fwd,gi|2492586536|ref|NM_199015.5|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 2, mRNA",0.0312707,21 / 22,||||||||||||| ||||||||,0,22
5_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|1907100893|ref|XM_036158581.1|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X2, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|1002819371|ref|NM_001320725.1|,"Mus musculus predicted gene, 45935 (Gm45935), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|256223289|ref|NM_001164289.1|,"Mus musculus PHD finger protein 11C (Phf11c), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
5_fwd,gi|2492586618|ref|NM_001419880.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 4, mRNA",0.0312707,21 / 22,|||||||||||||| |||||||,0,22
5_fwd,gi|2492584904|ref|NM_001419878.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 1, mRNA",0.0312707,21 / 22,|||||||||||||| |||||||,0,22
5_fwd,gi|2492587213|ref|NM_001419879.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 3, mRNA",0.0312707,21 / 22,|||||||||||||| |||||||,0,22
5_fwd,gi|2492586536|ref|NM_199015.5|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 2, mRNA",0.0312707,21 / 22,|||||||||||||| |||||||,0,22
6_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
7_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
8_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
6_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
7_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
8_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
6_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
7_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
8_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.00896123,20 / 20,||||||||||||||||||||,0,20
9_fwd,gi|2492587057|ref|NM_001419887.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 11, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492586618|ref|NM_001419880.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 4, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492587949|ref|NM_001419884.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 8, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492584904|ref|NM_001419878.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 1, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492587213|ref|NM_001419879.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 3, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492585573|ref|NM_001419883.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 7, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492586214|ref|NM_001419886.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 10, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492586536|ref|NM_199015.5|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 2, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492584906|ref|NM_001419881.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 5, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492587863|ref|NM_001419885.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 9, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|2492587462|ref|NM_001419882.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 6, mRNA",0.000735416,22 / 22,||||||||||||||||||||||,0,22
9_fwd,gi|1907100897|ref|XM_006518928.5|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X3, mRNA",0.00256685,21 / 21,|||||||||||||||||||||,0,21
9_fwd,gi|1907100893|ref|XM_036158581.1|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X2, mRNA",0.00256685,21 / 21,|||||||||||||||||||||,0,21
9_fwd,gi|256223450|ref|NM_001164327.1|,"Mus musculus PHD finger protein 11B (Phf11b), mRNA",0.00256685,21 / 21,|||||||||||||||||||||,0,21
9_fwd,gi|1907100890|ref|XM_006518927.4|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X1, mRNA",0.00256685,21 / 21,|||||||||||||||||||||,0,21
9_fwd,gi|1907100900|ref|XM_030247783.2|,"PREDICTED: Mus musculus PHD finger protein 11B (Phf11b), transcript variant X4, mRNA",0.00256685,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492587057|ref|NM_001419887.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 11, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492586618|ref|NM_001419880.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 4, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492587949|ref|NM_001419884.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 8, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492584904|ref|NM_001419878.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 1, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492587213|ref|NM_001419879.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 3, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492585573|ref|NM_001419883.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 7, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
10_fwd,gi|2492586214|ref|NM_001419886.1|,"Mus musculus PHD finger protein 11D (Phf11d), transcript variant 10, mRNA",0.00256715,21 / 21,|||||||||||||||||||||,0,21
