query_id,subject_id,subject_def,evalue,identity,midline,query_start,query_end
0_fwd,gi|2301398244|ref|NM_001357690.2|,"Mus musculus estrogen receptor-binding fragment-associated gene 9 (Ebag9), transcript variant 2, mRNA",4.64108,17 / 18,||||||||||||||| ||,0,18
1_fwd,gi|2301398244|ref|NM_001357690.2|,"Mus musculus estrogen receptor-binding fragment-associated gene 9 (Ebag9), transcript variant 2, mRNA",4.64108,17 / 18,||||||||||||||| ||,0,18
2_fwd,gi|2301398244|ref|NM_001357690.2|,"Mus musculus estrogen receptor-binding fragment-associated gene 9 (Ebag9), transcript variant 2, mRNA",4.64108,17 / 18,||||||||||||||| ||,0,18
4_fwd,gi|1907126243|ref|XM_006523354.5|,"PREDICTED: Mus musculus T cell activation Rho GTPase activating protein (Tagap), transcript variant X1, mRNA",197.344,17 / 19,||| |||||||||| ||||,0,14
6_fwd,gi|1845866038|ref|NR_168619.1|,"Mus musculus predicted gene 11478 (Gm11478), non-coding RNA",0.109148,18 / 18,||||||||||||||||||,0,18
25_fwd,gi|1845866038|ref|NR_168619.1|,"Mus musculus predicted gene 11478 (Gm11478), non-coding RNA",0.109148,18 / 18,||||||||||||||||||,0,18
6_fwd,gi|1720366231|ref|XM_011249048.3|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X1, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720366231|ref|XM_011249048.3|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X1, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1720366239|ref|XR_001780012.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X9, misc_RNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720366239|ref|XR_001780012.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X9, misc_RNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1720366244|ref|XR_003949454.1|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X12, misc_RNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720366244|ref|XR_003949454.1|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X12, misc_RNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1720366240|ref|XM_017314566.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X10, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720366240|ref|XM_017314566.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X10, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1039737289|ref|XM_011249051.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X3, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1039737289|ref|XM_011249051.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X3, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1720428052|ref|XM_006531213.4|,"PREDICTED: Mus musculus polyamine modulated factor 1 binding protein 1 (Pmfbp1), transcript variant X5, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720428052|ref|XM_006531213.4|,"PREDICTED: Mus musculus polyamine modulated factor 1 binding protein 1 (Pmfbp1), transcript variant X5, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1396658739|ref|NM_001347621.2|,"Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1396658739|ref|NM_001347621.2|,"Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1907081920|ref|XM_011249054.4|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X13, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1907081920|ref|XM_011249054.4|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X13, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1720366242|ref|XM_017314567.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X11, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1720366242|ref|XM_017314567.2|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X11, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
6_fwd,gi|1907081918|ref|XM_011249049.4|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X5, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
25_fwd,gi|1907081918|ref|XM_011249049.4|,"PREDICTED: Mus musculus BAH domain and coiled-coil containing 1 (Bahcc1), transcript variant X5, mRNA",197.344,17 / 19,||||||  |||||||||||,1,7
