query_id,subject_id,subject_def,evalue,identity,midline,query_start,query_end
7_fwd,gi|227500333|ref|NM_172661.3|,"Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant 2, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138140|ref|XM_030249910.2|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X9, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138122|ref|XM_006497948.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X1, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138133|ref|XM_030249906.2|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X6, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138127|ref|XM_006497949.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X3, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138125|ref|XM_030249897.2|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X2, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138129|ref|XM_006497950.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X4, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138135|ref|XM_006497952.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X7, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|227500364|ref|NM_001159634.1|,"Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant 1, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138138|ref|XM_006497953.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X8, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138131|ref|XM_006497951.5|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X5, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
7_fwd,gi|1907138142|ref|XM_030249911.2|,"PREDICTED: Mus musculus proline-rich coiled-coil 2B (Prrc2b), transcript variant X10, mRNA",4.63425,19 / 20,|||||||| |||||||||||,0,8
14_fwd,gi|140971258|ref|NM_054041.2|,"Mus musculus anthrax toxin receptor 1 (Antxr1), mRNA",4.63622,17 / 18,|||||||||||||| |||,0,18
33_fwd,gi|1907157693|ref|XM_006539243.4|,"PREDICTED: Mus musculus von Willebrand factor A domain containing 5B1 (Vwa5b1), transcript variant X3, mRNA",0.108964,20 / 21,|| ||||||||||||||||||,0,21
33_fwd,gi|1907157694|ref|XM_036164524.1|,"PREDICTED: Mus musculus von Willebrand factor A domain containing 5B1 (Vwa5b1), transcript variant X7, mRNA",0.108964,20 / 21,|| ||||||||||||||||||,0,21
33_fwd,gi|755510104|ref|XM_011250349.1|,"PREDICTED: Mus musculus von Willebrand factor A domain containing 5B1 (Vwa5b1), transcript variant X4, mRNA",0.108964,20 / 21,|| ||||||||||||||||||,0,21
